char,shift,vkCode,scanCode,isExtended
A,True,65,30,False
B,True,66,48,False
C,True,67,46,False
D,True,68,32,False
E,True,69,18,False
F,True,70,33,False
G,True,71,34,False
H,True,72,35,False
I,True,73,23,False
J,True,74,36,False
K,True,75,37,False
L,True,76,38,False
M,True,77,50,False
N,True,78,49,False
O,True,79,24,False
P,True,80,25,False
Q,True,81,16,False
R,True,82,19,False
S,True,83,31,False
T,True,84,20,False
U,True,85,22,False
V,True,86,47,False
W,True,87,17,False
X,True,88,45,False
Y,True,89,21,False
Z,True,90,44,False
a,False,65,30,False
b,False,66,48,False
c,False,67,46,False
d,False,68,32,False
e,False,69,18,False
f,False,70,33,False
g,False,71,34,False
h,False,72,35,False
i,False,73,23,False
j,False,74,36,False
k,False,75,37,False
l,False,76,38,False
m,False,77,50,False
n,False,78,49,False
o,False,79,24,False
p,False,80,25,False
q,False,81,16,False
r,False,82,19,False
s,False,83,31,False
t,False,84,20,False
u,False,85,22,False
v,False,86,47,False
w,False,87,17,False
x,False,88,45,False
y,False,89,21,False
z,False,90,44,False
[,False,219,26,False
],False,221,27,False
{,True,219,26,False
},True,221,27,False
\,False,220,43,False
 ,False,32,57,False
1,False,49,2,False
2,False,50,3,False
3,False,51,4,False
4,False,52,5,False
5,False,53,6,False
6,False,54,7,False
7,False,55,8,False
8,False,56,9,False
9,False,57,10,False
0,False,48,11,False
-,False,189,12,False
=,False,187,13,False
!,True,49,2,False
@,True,50,3,False
#,True,51,4,False
$,True,52,5,False
%,True,53,6,False
^,True,54,7,False
&,True,55,8,False
*,True,56,9,False
(,True,57,10,False
),True,48,11,False
_,True,189,12,False
+,True,187,13,False
