id,latex,offset,category,shortcut,order
alpha,\alpha ,0,GreekAlphabet,a,0
beta,\beta ,0,GreekAlphabet,b,1
theta,\theta ,0,GreekAlphabet,c,7
delta,\delta ,0,GreekAlphabet,d,3
epsilon,\epsilon ,0,GreekAlphabet,e,4
phi,\phi ,0,GreekAlphabet,f,20
gamma,\gamma ,0,GreekAlphabet,g,2
eta,\eta ,0,GreekAlphabet,h,6
iota,\iota ,0,GreekAlphabet,I,8
kappa,\kappa ,0,GreekAlphabet,k,9
lambda,\lambda ,0,GreekAlphabet,l,10
mu,\mu ,0,GreekAlphabet,m,11
nu,\nu ,0,GreekAlphabet,n,12
omicron,\omicron ,0,GreekAlphabet,o,14
pi,\pi ,0,GreekAlphabet,p,15
rho,\rho ,0,GreekAlphabet,r,16
sigma,\sigma ,0,GreekAlphabet,s,17
tau,\tau ,0,GreekAlphabet,t,18
upsilon,\upsilon ,0,GreekAlphabet,u,19
psi,\psi ,0,GreekAlphabet,v,22
omega,\omega ,0,GreekAlphabet,w,23
xi,\xi ,0,GreekAlphabet,y,13
chi,\chi ,0,GreekAlphabet,x,21
zeta,\zeta ,0,GreekAlphabet,z,5
